ajoneuvoluokka;ensirekisterointipvm;ajoneuvoryhma;ajoneuvonkaytto;variantti;versio;kayttoonottopvm;vari;ovienLukumaara;korityyppi;ohjaamotyyppi;istumapaikkojenLkm;omamassa;teknSuurSallKokmassa;tieliikSuurSallKokmassa;ajonKokPituus;ajonLeveys;ajonKorkeus;kayttovoima;iskutilavuus;suurinNettoteho;sylintereidenLkm;ahdin;sahkohybridi;merkkiSelvakielinen;mallimerkinta;vaihteisto;vaihteidenLkm;kaupallinenNimi;voimanvalJaTehostamistapa;tyyppihyvaksyntanro;yksittaisKayttovoima;kunta;Co2;matkamittarilukema;alue;valmistenumero2;jarnro
M1;2014-09-02;;01;526;61W0;20140902;0;4;AA;;5;1275;1815;;4585;1795;1450;01;1998;88;4;false;false;Mazda;MAZDA 3 Sedan (AA) 4ov 1998cm3;1;6;MAZDA 3;05;e11*01/116*0262*11;01;604;119;88104;339;JMZBM52661;4443024
M1;2014-07-07;;01;EADCC12;BA2N1JAPA7;20140707;1;5;AF;;7;1613;2320;;4656;1884;1685;01;1364;103;4;true;false;Opel;ZAFIRA TOURER Monikäyttöajoneuvo (AF) 5ov 1364cm3;1;6;ZAFIRA TOURER;05;e4*2007/46*0204*17;01;091;144;90424;009;W0LPE9EC9E;4446564
M1;2014-07-15;;01;FW73;FW738D??;20140715;9;4;AC;;5;1744;2150;;4635;1865;1479;02;1969;133;4;true;false;Volvo;V60 Farmari (AC) 4ov 1969cm3 A;2;8;V60;05;e9*2007/46*0023*17;02;092;109;133816;015;YV1FW738DF;4450168
M1;2014-08-21;;02;J0S2M0;NZCCB502;20140821;0;4;AA;;5;1735;2300;;4902;1873;1490;02;2143;125;4;true;false;Mercedes-Benz;E 220 CDI Sedan (AA) 4ov 2143cm3 A;2;7;E 220 CDI;05;e1*01/116*0501*20;02;286;123;217411;451;WDD2120021;4453614
M1G;2014-07-22;;01;DZ82;DZ8256??;20140722;6;4;AC;;5;1912;2505;;4644;1891;1713;02;2400;158;5;true;false;Volvo;XC60 Farmari (AC) 4ov 2400cm3 A;2;6;XC60;05;e9*01/116*0068*18;02;837;169;76201;339;YV1DZ8256F;4457003
M1;2014-07-25;;01;SACCZDAX0;FD7FD7CW002N7MMOML06VR2;20140725;8;5;AC;;5;1409;1900;;4434;1807;1613;01;1395;110;4;true;false;Volkswagen, VW;GOLF SPORTSVAN Farmari (AC) 5ov 1395cm3 A;2;7;GOLF SPORTSVAN;05;e1*2007/46*0627*08;01;710;123;23466;103;WVWZZZAUZF;4460784
M1;2014-09-04;;01;HSDAD;HSDADG;20140904;1;4;AC;;5;1395;1875;;4315;1822;1695;02;1461;80;4;true;false;Dacia;DUSTER Farmari (AC) 4ov 1461cm3;1;6;DUSTER;05;e2*01/116*0314*71;02;092;135;40373;012;UU1HSDADG5;4463940
M1;2014-12-23;;01;H;502;20110810;8;4;AA;;5;1810;2320;2320;4966;1877;1460;02;2179;140;4;true;false;Jaguar;JAGUAR XF Sedan (AA) 4ov 2179cm3 A;2;8;JAGUAR XF;05;e11*01/116*0323*05;02;049;149;151133;023;SAJAA0562C;4467045
M1;2015-07-01;;01;MX31;5B;20110110;0;4;AC;;5;1845;2420;2420;4907;1860;1462;02;2993;150;6;true;false;BMW;525d Farmari (AC) 4ov 2993cm3 A;2;8;525d;05;e1*2007/46*0455*01;02;405;162;181598;531;WBAMX31030;4470295
M1;2014-11-20;;01;ZRE181(E);ZRE181L-DEXNPW(2K);20141120;Y;4;AA;;5;1280;1770;;4620;1775;1465;01;1598;97;4;false;false;Toyota;TOYOTA COROLLA Sedan (AA) 4ov 1598cm3;3;;TOYOTA COROLLA;05;e11*01/116*0304*09;01;146;130;;814;NMTBE3JE70;4473895
M1;2014-09-04;;01;UARHJ*;UARHJH/P;20080327;;4;AF;;7;1695;2320;2320;4590;1830;1620;02;1990;100;4;true;false;Citroen;C4 PICASSO Monikäyttöajoneuvo (AF) 4ov 1990cm3;;;C4 PICASSO;05;e2*01/116*0345*01;02;536;159;152186;371;VF7UARHJH4;4477680
M1;2014-12-09;;01;SFJA1D;5DHABL;20141209;1;4;AB;;5;1124;1555;;4096;1722;1495;01;998;74;3;true;false;Ford;FIESTA Viistoperä (AB) 4ov 998cm3;1;5;FIESTA;05;e9*01/116*0069*17;01;837;99;;338;WF0DXXGAKD;4481043
M1;2014-10-08;;01;F5P71;M51AZ1;20141008;9;4;AF;;5;1102;1515;;3995;1710;1490;01;1248;62.5;4;false;false;Hyundai;i20 Monikäyttöajoneuvo (AF) 4ov 1248cm3;1;5;i20;05;e11*2007/46*0129*04;01;153;114;26467;556;NLHBA51BAF;4484382
M1;2015-03-04;;01;P4JA1D;5AMAAF;20150304;1;4;AB;;5;1055;1530;1530;4096;1722;1495;01;998;59;3;false;false;Ford;FIESTA Viistoperä (AB) 4ov 998cm3;1;5;FIESTA;05;e9*01/116*0069*17;01;734;99;8241;242;WF0DXXGAKD;4487623
M1;2014-11-25;;01;HSDAD;HSDADG;20141125;0;4;AC;;5;1395;1875;;4315;1822;1695;02;1461;80;4;true;false;Dacia;DUSTER Farmari (AC) 4ov 1461cm3;1;6;DUSTER;05;e2*01/116*0314*71;02;317;135;;867;UU1HSDADG5;4490647
M1;2014-09-25;;01;T342K0;TBAAA401;20050107;Y;2;AD;;4;1570;2010;2010;4635;1740;1370;01;1796;120;4;true;false;Mercedes-Benz;CLK 200 KOMPRESSOR Coupé (AD) 2ov 1796cm3 A;2;;CLK 200 KOMPRESSOR;05;e1*98/14*0184*06;01;895;206;133869;235;WDB2093421;4494003
M1;2014-10-29;;01;ACCUPAX0;NFD6FD6D9002V2ML7;20141029;6;4;AC;;5;1502;1993;1993;4788;1814;1482;02;1968;135;4;true;false;Skoda;OCTAVIA Farmari (AC) 4ov 1968cm3 A;2;6;OCTAVIA;05;e11*2007/46*0243*10;02;169;129;176572;316;TMBJK7NE1F;4497375
M1;2014-11-07;;01;SCUNAQ1;QD6D9003R8V617MMEM1;20141107;9;4;AB;;5;1495;1980;;4425;1785;1477;02;1968;135;4;true;false;Audi;A3 SPORTBACK Viistoperä (AB) 4ov 1968cm3 A;2;6;A3 SPORTBACK;05;e1*2007/46*0607*14;02;491;124;48690;523;WAUZZZ8V4F;4501179
M1;2014-10-30;;01;SACCZCAX0;FD7FD7CW001N7MMOML01VR2;20141030;1;5;AC;;5;1383;1900;;4434;1807;1613;01;1395;92;4;true;false;Volkswagen, VW;GOLF SPORTSVAN Farmari (AC) 5ov 1395cm3 A;2;7;GOLF SPORTSVAN;05;e1*2007/46*0627*08;01;398;121;52138;153;WVWZZZAUZF;4504281
M1;2015-02-27;;01;XX11;6A25000A;20150227;8;4;AA;;5;1820;2335;;4671;1881;1624;02;1995;140;4;true;false;BMW;X4 xDRIVE20d Sedan (AA) 4ov 1995cm3 A;2;8;X4 xDRIVE20d;05;e1*2007/46*0512*13;02;179;138;;402;WBAXX1107F;4507539
M1;2014-11-20;;01;SACCYVBX0;FD7FD7CW001N7MMOVL01VR2;20141120;Y;5;AC;;5;1350;1870;;4434;1807;1613;01;1197;81;4;true;false;Volkswagen, VW;GOLF SPORTSVAN Farmari (AC) 5ov 1197cm3 A;2;7;GOLF SPORTSVAN;05;e1*2007/46*0627*08;01;858;116;;054;WVWZZZAUZF;4511183
M1;2015-02-19;;01;A;A01;20150219;6;4;AF;;5;1051;1425;;3825;1670;1510;01;1198;59;3;false;false;Nissan;NISSAN MICRA Monikäyttöajoneuvo (AF) 4ov 1198cm3;1;5;NISSAN MICRA;05;e13*2007/46*1111*08;01;405;115;;533;MDHFBUK13U;4515159
M1;2015-04-24;;01;ZGR21(WF);ZGR21L-GWXEPW(3J);20150424;Y;4;AF;;7;1525;2125;;4460;1790;1670;01;1798;108;4;false;false;Toyota;TOYOTA VERSO Monikäyttöajoneuvo (AF) 4ov 1798cm3;3;;TOYOTA VERSO;05;e11*01/116*0350*08;01;086;159;;058;NMTDG26R40;4518576
M1;2014-12-11;;01;HSDAD;HSDADG;20141211;5;4;AC;;5;1395;1875;;4315;1822;1695;02;1461;80;4;true;false;Dacia;DUSTER Farmari (AC) 4ov 1461cm3;1;6;DUSTER;05;e2*01/116*0314*73;02;233;135;;623;UU1HSDADG5;4521921
M1;2015-05-12;;01;GA521;ABAAA6A5AAAC;20150109;0;4;AC;;5;1579;2060;;4295;1770;1625;02;1798;85;4;true;false;Mitsubishi;MITSUBISHI ASX Farmari (AC) 4ov 1798cm3;1;6;MITSUBISHI ASX;05;e1*2007/46*0368*09;02;436;132;;923;JMBXJGA6WF;4524955
M1;2015-01-09;;01;GAC4CJZAX0;FM6FM6AJ009N7MJON1VL00VR2;20150109;0;5;AC;;5;1235;1730;;4357;1799;1491;01;1197;77;4;true;false;Volkswagen, VW;GOLF Farmari (AC) 5ov 1197cm3;1;6;GOLF;05;e1*2007/46*0623*13;01;684;114;;269;WVWZZZAUZF;4527890
M1;2014-12-19;;01;GAC4CJZBX0;FM5FM5AF017N7MJON1VL00VR2;20141219;2;5;AC;;5;1229;1720;;4357;1799;1491;01;1197;63;4;true;false;Volkswagen, VW;GOLF Farmari (AC) 5ov 1197cm3;1;5;GOLF;05;e1*2007/46*0623*13;01;837;113;60378;331;WVWZZZAUZF;4531002
M1;2015-01-05;;01;FS45;FS45HB??;20150105;0;4;AA;;5;1592;2030;;4635;1865;1479;01;1596;110;4;true;false;Volvo;S60 Sedan (AA) 4ov 1596cm3 A;2;6;S60;05;e9*2007/46*0023*19;01;092;159;;014;YV1FS45HBF;4533949
M1;2015-03-05;;01;C5P21;M61AZ1;20150305;Y;4;AC;;5;1335;1820;;4505;1780;1485;01;1396;73.2;4;false;false;Kia;CEED Farmari (AC) 4ov 1396cm3;1;6;CEED;05;e4*2007/46*0496*06;01;694;136;;111;U5YHM811AF;4537566
M1;2015-10-28;;01;A0412;AABBA5A5AAAA;20151028;9;4;AF;;5;934;1340;;3710;1665;1505;01;1193;59;3;false;false;Mitsubishi;MITSUBISHI SPACE STAR Monikäyttöajoneuvo (AF) 4ov 1193cm3;1;5;MITSUBISHI SPACE STAR;05;e1*2007/46*0951*03;01;051;96;;291;MMCXNA03AF;4541073
M1;2015-02-13;;01;M8DB16;5CDAMC;20150213;8;4;AC;;5;1350;1900;;4689;1823;1510;01;1498;110;4;true;false;Ford;Focus Farmari (AC) 4ov 1498cm3;1;6;Focus;05;e13*2007/46*1138*14;01;091;128;;006;WF06XXGCC6;4544844
M1;2015-01-21;;01;GAC4CXSAX0;FD7FD7CW001N7MJON1ML00VR2;20150121;2;5;AC;;5;1271;1770;;4357;1799;1491;01;1395;90;4;true;false;Volkswagen, VW;GOLF Farmari (AC) 5ov 1395cm3 A;2;7;GOLF;05;e1*2007/46*0623*13;01;091;116;;003;WVWZZZAUZF;4548836
M1;2015-01-26;;01;AACRLBX0;FD6FD6D9002SH7MMVR263;20150126;6;4;AA;;5;1505;2070;;4866;1832;1476;02;1968;110;4;true;false;Volkswagen, VW;PASSAT Sedan (AA) 4ov 1968cm3 A;2;6;PASSAT;05;e1*01/116*0307*38;02;186;116;;044;WVWZZZ3CZF;4551842
M1;2015-02-10;;01;124GQ2;OZAAB500;20150210;9;5;AC;;5;1395;1920;;4359;1790;1455;01;1595;90;4;true;false;Mercedes-Benz;A 180 Farmari (AC) 5ov 1595cm3 A;2;7;A 180;05;e1*01/116*0470*12;01;091;119;;001;WDD1760421;4554549
M1;2015-05-07;;01;AACBZA;NFM5FM52T106ST0P0SE;20150206;1;4;AA;;5;1155;1615;;4589;1706;1488;01;1197;63;4;true;false;Seat;TOLEDO Sedan (AA) 4ov 1197cm3;1;5;TOLEDO;05;e11*2007/46*0251*09;01;202;119;;215;VSSZZZNHZF;4557780
M1;2015-03-02;;01;ACCRLBX0;FD6FD6D9002SH7MMVR263;20150302;0;5;AC;;5;1548;2140;;4882;1832;1516;02;1968;110;4;true;false;Volkswagen, VW;PASSAT Farmari (AC) 5ov 1968cm3 A;2;6;PASSAT;05;e1*01/116*0307*38;02;049;119;;023;WVWZZZ3CZF;4560669
M1;2015-05-15;;01;F5D14;A62AZ1;20150515;1;4;AF;;5;1732;2140;;4410;1820;1665;02;1995;135;4;true;false;Hyundai;ix35 Monikäyttöajoneuvo (AF) 4ov 1995cm3 A;2;6;ix35;05;e11*2007/46*0192*08;02;232;180;;618;TMAJU81VDF;4563338
M1;2015-10-06;;02;J20XP0;NZCCB501;20151006;9;5;AC;;5;1845;2410;2410;4918;1873;1511;02;2143;100;4;true;false;Mercedes-Benz;E 200 BLUETEC Farmari (AC) 5ov 2143cm3 A;2;7;E 200 BLUETEC;05;e1*2007/46*0200*21;02;423;128;26038;214;WDD2122061;4566416
M1;2015-04-21;;01;F5P81;M52DZ1;20150421;8;5;AF;;5;1168;1560;;4050;1720;1455;01;1248;61.8;4;false;false;Kia;RIO Monikäyttöajoneuvo (AF) 5ov 1248cm3;1;5;RIO;05;e11*2007/46*0195*11;01;092;109;;012;KNADN511AF;4569272
M1;2015-03-20;;01;ACCRKBX0;GFM6FM62S030V2VL7;20150320;9;4;AC;;5;1280;1815;;4781;1814;1480;02;1598;81;4;true;false;Skoda;OCTAVIA Farmari (AC) 4ov 1598cm3;1;6;OCTAVIA;05;e11*2007/46*0243*12;02;564;85;;901;TMBJG7NE6F;4572360
M1;2015-03-16;;01;124GQ2;HZAAB500;20150316;9;5;AC;;5;1370;1935;;4359;1790;1455;01;1595;90;4;true;false;Mercedes-Benz;A 180 Farmari (AC) 5ov 1595cm3;1;6;A 180;05;e1*01/116*0470*12;01;851;127;;954;WDD1760421;4575248
M1;2015-03-17;;01;ECHAA11;BA2R5FPHA7;20120521;6;5;AF;;7;1701;2410;2410;4656;1884;1685;02;1956;96;4;true;false;Opel;ZAFIRA TOURER Monikäyttöajoneuvo (AF) 5ov 1956cm3;1;6;ZAFIRA TOURER;05;e4*2007/46*0204*08;02;091;137;159023;007;W0LPE9EM6C;4578926
M1G;2015-03-24;;01;JG22;04;20140424;6;4;AC;;5;1955;2575;2575;4681;1926;1655;02;2967;190;6;true;false;Porsche;MACAN S DIESEL Farmari (AC) 4ov 2967cm3 A;2;7;MACAN S DIESEL;05;e13*2007/46*1165*02;02;167;164;59705;801;WP1ZZZ95ZF;4582369
M1;2015-04-14;;01;T7CE1F;5EJAPY;20150414;9;4;AC;;5;1601;2330;;4974;1852;1506;02;1997;110.3;4;true;false;Ford;Mondeo Farmari (AC) 4ov 1997cm3 A;2;6;Mondeo;05;e13*01/116*0249*27;02;211;128;;362;WF0FXXWPCF;4586103
M1;2015-06-30;;01;3K51;5A250000;20150630;2;4;AC;;5;1660;2160;;4624;1811;1434;02;1995;135;4;true;false;BMW;320d xDrive Farmari (AC) 4ov 1995cm3 A;2;8;320d xDrive;05;e1*2007/46*0315*13;02;208;133;;681;WBA3K5101F;4589616
M1;2015-11-13;;01;C7D24;A63BZ1;20151113;8;5;AC;;7;1953;2620;;4780;1890;1685;02;2199;147;4;true;false;Kia;SORENTO Farmari (AC) 5ov 2199cm3 A;2;6;SORENTO;05;e4*2007/46*0894*01;02;092;177;;016;KNAPH81BDF;4593036
M1;2015-04-30;;01;CCJSAX0V;FD7SFD7CW0057MMMLO5;20150430;2;3;AC;;5;1307;1850;;4228;1810;1446;01;1798;132;4;true;false;Seat;LEON SC Farmari (AC) 3ov 1798cm3 A;2;7;LEON SC;05;e9*2007/46*0094*14;01;837;132;;337;VSSZZZ5FZF;4596569
M1;2015-09-25;;01;7RLA;7RLA0H;20150813;2;4;AC;;5;1130;1640;;4267;1732;1475;01;898;66;3;true;false;Renault;CLIO Farmari (AC) 4ov 898cm3;1;5;CLIO;05;e2*01/116*0327*67;01;753;104;;011;VF17RLA0H5;4599876
M1;2015-09-10;;01;F97;60E;20150910;9;4;AC;;5;1390;1930;;4555;1840;1710;01;1998;121;4;false;false;Mazda;Mazda CX-5 Farmari (AC) 4ov 1998cm3;1;6;Mazda CX-5;05;e1*01/116*0448*23;01;211;139;;361;JMZKEF9760;4603532
M1;2015-06-10;;01;6W7;61W0;20150610;2;4;AC;;5;1230;1690;;4275;1765;1535;01;1998;88;4;false;false;Mazda;Mazda CX-3 Farmari (AC) 4ov 1998cm3;1;6;Mazda CX-3;05;e1*2007/46*1335*03;01;257;137;;024;JMZDK6W761;4606988
M1;2015-05-21;;01;P4JC1D;5AMAAF;20150521;6;4;AB;;5;1055;1530;;4096;1722;1495;01;998;59;3;false;false;Ford;Fiesta Viistoperä (AB) 4ov 998cm3;1;5;Fiesta;05;e9*01/116*0069*19;01;853;99;;203;WF0DXXGAKD;4610747
M1;2016-07-21;;01;M24GQ2;OZBCB501;20150928;0;5;AC;;5;1425;1960;;4439;1812;1572;01;1595;90;4;true;false;Mercedes-Benz;B 180 Farmari (AC) 5ov 1595cm3 A;2;7;B 180;05;e1*01/116*0470*13;01;444;125;;081;WDD2462421;4614597
M1;2015-06-02;;01;VACCJZBX0;FM5FM5AF017N7MJON1VL00VR2;20150602;0;5;AC;;5;1285;1820;;4680;1799;1515;01;1197;63;4;true;false;Volkswagen, VW;GOLF Farmari (AC) 5ov 1197cm3;1;5;GOLF;05;e1*2007/46*0627*13;01;018;115;;075;WVWZZZAUZF;4618900
M1;2015-06-25;;01;AACFGCX1;AD6AD62E083ST7MJVR24O;20141218;1;4;AA;1;4;1738;2110;2110;4802;1855;1417;02;1968;130;4;true;false;Volkswagen;CC Sedan (AA) 4ov 1968cm3 A;2;;CC;05;E1*2001/116*0468*15;02;783;149;;277;WVWZZZ3CZE;4622438
M1;2015-06-01;;01;E320K0;NCAAA400;20060418;0;4;AA;;4;1815;2280;2280;4910;1870;1380;02;2980;165;6;true;false;Mercedes-Benz;CLS 320 CDI Sedan (AA) 4ov 2980cm3;;;CLS 320 CDI;09;e1*01/116*0295*03;02;609;202;256692;286;WDD2193221;4626261
M1;2016-02-19;;01;D;D03;20160219;Y;4;AF;;5;1419;1860;;4380;1806;1590;01;1197;85;4;true;false;Nissan;Nissan Qashqai Monikäyttöajoneuvo (AF) 4ov 1197cm3;1;6;Nissan Qashqai;05;e11*2007/46*0963*05;01;734;129;;242;SJNFEAJ11U;4629809
M1;2015-06-23;;01;CFHCAF;FD6FD62E0187MJS7N1VR2SM;20150623;8;5;AF;;7;1649;2270;2270;4397;1794;1619;02;1968;103;4;true;false;Volkswagen, VW;TOURAN Monikäyttöajoneuvo (AF) 5ov 1968cm3 A;2;6;TOURAN;05;e1*01/116*0211*35;02;049;135;;022;WVGZZZ1TZF;4633687
M1;2015-07-07;;01;D;D03;20150707;8;4;AF;;5;1396;1860;;4380;1806;1590;01;1197;85;4;true;false;Nissan;Nissan Qashqai Monikäyttöajoneuvo (AF) 4ov 1197cm3;1;6;Nissan Qashqai;05;e11*2007/46*0963*05;01;543;129;;018;SJNFEAJ11U;4636820
M1;2015-07-08;;01;SW79;SW7969??;20041111;0;5;AC;;5;1649;2180;2180;4720;1800;1460;02;2400;120;5;true;false;Volvo;V70 Farmari (AC) 5ov 2400cm3 A;2;;V70;05;e4*2001/116*0040*11;02;152;209;318065;615;YV1SW79695;4640160
M1;2015-12-10;;05;ZWA10(H);ZWA10L-AHXBBW(1D);20151210;Y;4;AB;;5;1485;1845;;4350;1765;1455;01;1798;73;4;false;true;Lexus;LEXUS CT200H Viistoperä (AB) 4ov 1798cm3;3;;LEXUS CT200H;17;e11*2007/46*0150*03;01;186;88;;044;JTHKD5BHX0;4643577
M1;2015-09-24;;01;F5P61;M51AZ1;20150924;2;5;AF;;5;930;1400;;3595;1595;1480;01;998;48.5;3;false;false;Kia;Picanto Monikäyttöajoneuvo (AF) 5ov 998cm3;1;5;Picanto;05;e4*2007/46*0256*13;01;010;95;;636;KNABX511AG;4646758
M1;2015-07-23;;01;NSP13(MH);NSP130L-CHFNKW(1J);20150723;8;4;AF;;5;1115;1490;;3950;1695;1510;01;1329;73;4;false;false;Toyota;TOYOTA YARIS Monikäyttöajoneuvo (AF) 4ov 1329cm3;1;6;TOYOTA YARIS;05;e11*2007/46*0152*08;01;257;114;;024;VNKKJ3D360;4650092
M1G;2015-10-15;;01;V9524;BKCDB5B7CAAG;20151015;8;4;AF;;7;2460;3030;;4900;1875;1890;02;3200;147;4;true;false;Mitsubishi;MITSUBISHI PAJERO Monikäyttöajoneuvo (AF) 4ov 3200cm3 A;2;5;MITSUBISHI PAJERO;05;e1*01/116*0385*15;02;853;224;;207;JMBLYV98WF;4653330
M1;2015-08-28;;01;646;81WX;20150828;6;4;AB;;5;1315;1835;;4465;1795;1465;01;1998;88;4;false;false;Mazda;Mazda3 Viistoperä (AB) 4ov 1998cm3 A;2;6;Mazda3;05;e11*01/116*0262*14;01;749;129;;718;3MZBM64681;4656707
M1;2015-08-28;;01;ACCZDAX0;NFD7FD7CW006STVL657;20150828;6;4;AC;;5;1292;1862;;4781;1814;1495;01;1395;110;4;true;false;Skoda;OCTAVIA Farmari (AC) 4ov 1395cm3 A;2;7;OCTAVIA;05;e11*2007/46*0243*14;01;853;114;;207;TMBJC7NE1G;4660017
M1;2016-06-22;;01;SCXXBQ1;QM62Q032P8V067MMEM1;20151007;8;4;AB;;5;1455;1940;;4425;1785;1477;02;1598;81;4;true;false;Audi;A3 Sportback Viistoperä (AB) 4ov 1598cm3;1;6;A3 Sportback;05;e1*2007/46*0607*17;02;091;127;;002;WAUZZZ8V0G;4663121
M1;2015-10-21;;01;R046K0;THBBA501;20040617;8;4;AA;;5;1505;1965;1965;4528;1728;1390;01;1796;105;4;true;false;Mercedes-Benz;C 180 KOMPRESSOR Sedan (AA) 4ov 1796cm3 A;2;;C 180 KOMPRESSOR;05;e1*98/14*0139*15;01;977;193;170671;841;WDB2030461;4666191
M1G;2015-08-07;;01;DZ71;DZ7144??;20090616;1;4;AC;;5;1801;2505;2505;4627;1891;1713;02;2400;136;5;true;false;Volvo;XC60 Farmari (AC) 4ov 2400cm3;1;6;XC60;05;e9*01/116*0068*00;02;091;199;58178;001;YV1DZ71449;4669677
M1;2015-09-08;;01;6;3;20150908;1;4;AF;;5;1728;2200;;4605;1895;1680;02;1597;118;4;true;false;Honda;Honda CR-V Monikäyttöajoneuvo (AF) 4ov 1597cm3 A;2;9;Honda CR-V;05;e11*01/116*0302*11;02;408;134;;622;SHSRE6870F;4672735
M1;2015-09-17;;01;A;A02;20150917;8;4;AF;;5;1446;1910;;4380;1806;1590;02;1461;81;4;true;false;Nissan;Nissan Qashqai Monikäyttöajoneuvo (AF) 4ov 1461cm3;1;6;Nissan Qashqai;05;e11*2007/46*0963*05;02;091;99;;006;SJNFAAJ11U;4676163
M1;2016-04-07;;01;1T11;6A350000;20160407;8;4;AC;;5;1530;2005;;4329;1765;1421;02;1995;140;4;true;false;BMW;120d xDrive Farmari (AC) 4ov 1995cm3 A;2;8;120d xDrive;05;e1*2007/46*0283*14;02;049;124;;023;WBA1T1103G;4679259
M1;2015-10-09;;01;AXA1A;00AM;20151009;9;2;AB;;4;1033;1355;;3585;1627;1488;01;1242;51;4;false;false;Fiat;FIAT 500 Viistoperä (AB) 2ov 1242cm3;1;5;FIAT 500;05;e3*2007/46*0064*25;01;092;110;;013;ZFA3120000;4682415
M1;2015-09-29;;01;ABCZCA;NFD7FD7CW002STN762SK;20150929;9;4;AB;;5;1221;1681;;4427;1706;1471;01;1395;92;4;true;false;Skoda;RAPID Viistoperä (AB) 4ov 1395cm3 A;2;7;RAPID;05;e11*2007/46*0250*12;01;853;114;;204;TMBET6NH6G;4685625
M1;2015-10-23;;01;BS9;C4L;20151023;0;4;AC;;5;1657;2100;;4815;1840;1605;01;2498;129;4;false;false;Subaru;LEGACY Farmari (AC) 4ov 2498cm3;3;;LEGACY;05;e1*2007/46*1320*00;01;091;161;;006;JF1BS9LC2F;4688533
M1;2015-10-15;;01;A;A07;20151015;8;4;AF;;5;1051;1425;;3825;1670;1510;01;1198;59;3;false;false;Nissan;NISSAN MICRA Monikäyttöajoneuvo (AF) 4ov 1198cm3;1;5;NISSAN MICRA;05;e13*2007/46*1111*11;01;139;115;;951;MDHFBUK13U;4691413
M1;2015-10-12;;01;GAC4CZCAX0;FD7FD7CW001N7MMON1ML63VR2;20151012;9;5;AC;;5;1271;1780;;4357;1799;1491;01;1395;92;4;true;false;Volkswagen, VW;GOLF Farmari (AC) 5ov 1395cm3 A;2;7;GOLF;05;e1*2007/46*0623*17;01;853;118;;207;WVWZZZAUZG;4694242
M1;2015-11-20;;01;F5P81;M52DZ1;20151120;0;5;AF;;5;1190;1560;;4050;1720;1455;01;1248;61.8;4;false;false;Kia;RIO Monikäyttöajoneuvo (AF) 5ov 1248cm3;1;5;RIO;05;e11*2007/46*0195*12;01;398;109;;158;KNADN511AG;4697008
M1;2015-11-03;;01;WWT271(W);WWT271L-AWFEYW(1J);20151103;8;4;AF;;5;1565;2100;;4820;1810;1480;02;1995;105;4;true;false;Toyota;TOYOTA AVENSIS Monikäyttöajoneuvo (AF) 4ov 1995cm3;1;6;TOYOTA AVENSIS;05;e11*01/116*0331*08;02;257;120;;028;SB1ET76LX0;4700014
M1;2015-11-04;;01;SFJC1D;5DHABL;20151104;0;4;AB;;5;1130;1555;;4096;1722;1495;01;998;74;3;true;false;Ford;Fiesta Viistoperä (AB) 4ov 998cm3;1;5;Fiesta;05;e9*01/116*0069*21;01;092;99;;016;WF0DXXGAKD;4702939
M1;2015-11-13;;01;ACBKPX0;FM6FM62Q009STP0GG;20060713;0;5;AC;1;5;1585;2140;2140;4774;1820;1537;02;1968;103;4;true;false;Volkswagen;Passat Farmari (AC) 5ov 1968cm3;1;6;Passat;05;e1*2001/116*0307*10;02;837;158;261865;338;WVWZZZ3CZ7;4705943
M1;2015-11-19;;01;AACXXBX0;NFD7FD7CW002S1VL617;20151119;1;4;AA;;5;1320;1890;;4781;1814;1496;02;1598;81;4;true;false;Skoda;OCTAVIA Sedan (AA) 4ov 1598cm3 A;2;7;OCTAVIA;05;e11*2007/46*0243*15;02;016;99;;172;TMBAG7NE6G;4708650
M1;2016-01-22;;01;D;D04;20160122;9;4;AF;;5;1485;1860;;4380;1806;1590;01;1197;85;4;true;false;Nissan;Nissan Qashqai Monikäyttöajoneuvo (AF) 4ov 1197cm3;1;6;Nissan Qashqai;05;e11*2007/46*0963*06;01;398;133;;157;SJNFEAJ11U;4711710
M1;2016-02-12;;01;AACYVBX0;NFM6FM6AJ009STVL617;20160212;2;4;AA;;5;1230;1780;;4781;1814;1481;01;1197;81;4;true;false;Skoda;OCTAVIA Sedan (AA) 4ov 1197cm3;1;6;OCTAVIA;05;e11*2007/46*0243*15;01;623;114;;522;TMBAB7NE9G;4714472
M1;2015-12-15;;01;GCXEB320X1;LNAD7BT0117NVR27MMG02L66391;20151215;1;6;AF;;9;2105;3200;;5406;1904;1990;02;1968;150;4;true;false;Volkswagen, VW;KOMBI Monikäyttöajoneuvo (AF) 6ov 1968cm3 A;2;7;KOMBI;05;e1*01/116*0220*40;02;098;169;;166;WV2ZZZ7HZG;4717154
M1G;2015-12-11;;01;LFA4;LFA48C??;20151211;0;5;AF;;7;2171;2750;;4950;1958;1766;02;1969;165;4;true;false;Volvo;XC90 Monikäyttöajoneuvo (AF) 5ov 1969cm3 A;2;8;XC90;05;e4*2007/46*0929*02;02;562;149;;353;YV1LFA48CG;4720007
M1;2016-02-11;;01;GA211;ACBBA5C5CAAC;20160211;8;4;AC;;5;1388;1870;;4295;1810;1635;01;1590;86;4;false;false;Mitsubishi;Mitsubishi ASX Farmari (AC) 4ov 1590cm3;1;5;Mitsubishi ASX;05;e1*2007/46*0368*11;01;167;132;;803;JMBXNGA1WF;4722615
