ID;Kommentti;Mainepisteet
0928;¤%qwerty,.;-2807
0929;Validi kommentti;-142
0930;¤%qwerty,.;2490
0931;Hei, olen kommentti.;409
0932;¤%qwerty,.;5221
0933;-.4,56kom-m<entti5;2920
0934;par!si-ttu;-2913
0935;¤%qwerty,.;-9301
0936;¤%qwerty,.;6811
0937;-.4,56kom-m<entti5;7091
0938;Validi kommentti;937
0939;¤%qwerty,.;3246
0940;par!si-ttu;8720
0941;-.4,56kom-m<entti5;1068
0942;par!si-ttu;-3703
0943;<>!=();-1879
0944;Validi kommentti;9935
0945;<>!=();8319
0946;¤%qwerty,.;7016
0947;par!si-ttu;-7956
0948;Hei, olen kommentti.;5845
0949;par!si-ttu;-77
0950;<>!=();-4588
0951;,,s.5,.(556;3315
0952;par!si-ttu;5714
0953;Hei, olen kommentti.;8100
0954;,,s.5,.(556;-5721
0955;<>!=();-2930
0956;-.4,56kom-m<entti5;-771
0957;par!si-ttu;6929
0958;<>!=();-6104
0959;par!si-ttu;3039
0960;<>!=();5457
0961;par!si-ttu;7799
0962;Validi kommentti;2844
0963;par!si-ttu;-9467
0964;¤%qwerty,.;-6543
0965;Validi kommentti;-170
0966;par!si-ttu;-4502
0967;,,s.5,.(556;-1209
0968;¤%qwerty,.;-4432
0969;<>!=();-2502
0970;,,s.5,.(556;9914
0971;-.4,56kom-m<entti5;6376
0972;-.4,56kom-m<entti5;-801
0973;-.4,56kom-m<entti5;-1026
0974;<>!=();-6567
0975;Hei, olen kommentti.;333
975;Hei, olen kommentti.;-2478
0977;Hei, olen kommentti.;6193
0978;¤%qwerty,.;5349
0979;,,s.5,.(556;3187
0980;,,s.5,.(556;1576
0981;-.4,56kom-m<entti5;4357
0982;,,s.5,.(556;5233
0983;,,s.5,.(556;-8450
0984;<>!=();-3624
0985;<>!=();3322
0986;<>!=();8524
0987;Validi kommentti;5711
0988;Validi kommentti;5509
0989;<>!=();-436
0990;Hei, olen kommentti.;-6754
0991;¤%qwerty,.;1558
0992;,,s.5,.(556;-9222
0993;,,s.5,.(556;8496
0994;<>!=();5377
0995;par!si-ttu;336
0996;par!si-ttu;7217
0997;par!si-ttu;-5901
0998;¤%qwerty,.;7331
0999;par!si-ttu;-76
1000;Validi kommentti;-503
1001;Validi kommentti;5284
1002;par!si-ttu;-2383
1003;Validi kommentti;-800
1004;Validi kommentti;-4812
1005;Validi kommentti;1528
1006;-.4,56kom-m<entti5;-5841
1007;,,s.5,.(556;-4467
1008;par!si-ttu;-6435
1009;,,s.5,.(556;-3423
1010;¤%nlnpwrhn;21324
1011;Validi kommentti;2311
1012;Hei, olen kommentti.;6997
1013;Hei, olen kommentti.;2856
1014;Validi kommentti;-2043
1015;¤%qwerty,.;-3736
1016;,,s.5,.(556;6185
1017;-.4,56kom-m<entti5;-6301
1018;,,s.5,.(556;3210
1019;par!si-ttu;5817
1020;Validi kommentti;6169
1021;-.4,56kom-m<entti5;-3161
1022;Validi kommentti;9062
1023;Validi kommentti;5898
1024;-.4,56kom-m<entti5;-1903
1025;par!si-ttu;-497
1026;¤%qwerty,.;-6656
1027;,,s.5,.(556;-6203
1028;<>!=();5208
1029;par!si-ttu;-4726
1030;Validi kommentti;7117
1031;-.4,56kom-m<entti5;9033
1032;-.4,56kom-m<entti5;3072
1033;¤%qwerty,.;-6163
1034;par!si-ttu;-632
1035;-.4,56kom-m<entti5;6124
1036;-.4,56kom-m<entti5;5954
1037;,,s.5,.(556;174
1038;-.4,56kom-m<entti5;-1654
1039;,,s.5,.(556;-1222
1040;-.4,56kom-m<entti5;9480
1041;,,s.5,.(556;-1913
1042;Validi kommentti;6551
1043;-.4,56kom-m<entti5;8716
1044;par!si-ttu;-5669
1045;Validi kommentti;5441
1046;Hei, olen kommentti.;4596
1047;¤%qwerty,.;9728
1048;¤%qwerty,.;-2382
1049;-.4,56kom-m<entti5;-264
1050;par!si-ttu;-4065
1051;-.4,56kom-m<entti5;-1830
1052;par!si-ttu;-6120
1053;<>!=();6251
1054;¤%qwerty,.;-9886
1055;Hei, olen kommentti.;-9182
1056;-.4,56kom-m<entti5;-3913
1057;-.4,56kom-m<entti5;-6963
1058;-.4,56kom-m<entti5;-5983
1059;<>!=();-3014
1060;¤%qwerty,.;3736
1061;,,s.5,.(556;84
1062;Hei, olen kommentti.;-5982
1063;Validi kommentti;-2113
1064;par!si-ttu;-4287
1065;Hei, olen kommentti.;3632
1066;¤%qwerty,.;3152
1067;,,s.5,.(556;6062
1068;<>!=();7185
1069;,,s.5,.(556;3412
1070;-.4,56kom-m<entti5;-4782
1071;par!si-ttu;-7348
1072;Validi kommentti;-1758
1073;Hei, olen kommentti.;7674
1074;par!si-ttu;2860
1075;¤%qwerty,.;-6040
1076;Hei, olen kommentti.;7369
1077;,,s.5,.(556;9895
1078;¤%qwerty,.;-7390
1079;¤%qwerty,.;-4358
1080;Hei, olen kommentti.;-571
1081;Validi kommentti;-234
1082;,,s.5,.(556;4755
1083;-.4,56kom-m<entti5;-553
1084;par!si-ttu;2461
1085;<>!=();6891
1086;par!si-ttu;-4578
1087;Hei, olen kommentti.;4066
1088;¤%qwerty,.;-9495
1089;Validi kommentti;1043
1090;<>!=();8504
1091;,,s.5,.(556;-2606
1092;par!si-ttu;5010
1093;Validi kommentti;-3866
1094;¤%qwerty,.;461
1095;¤%qwerty,.;-7250
1096;Hei, olen kommentti.;4571
1097;Validi kommentti;7009
1098;Validi kommentti;1593
1099;Validi kommentti;-3238
1100;Hei, olen kommentti.;6291
1101;-.4,56kom-m<entti5;9829
1102;par!si-ttu;2562
1103;Hei, olen kommentti.;5413
1104;-.4,56kom-m<entti5;9325
1105;par!si-ttu;799
1106;-.4,56kom-m<entti5;4963
1107;¤%qwerty,.;529
1108;Hei, olen kommentti.;-3452
1109;<>!=();6573
1110;<>!=();-1597
1111;par!si-ttu;8218
1112;Hei, olen kommentti.;-5118
1113;<>!=();-2069
1114;¤%qwerty,.;3059
1115;<>!=();-2221
1116;,,s.5,.(556;-9579
1117;¤%qwerty,.;9625
1118;¤%qwerty,.;7789
1119;,,s.5,.(556;-7678
1120;,,s.5,.(556;-6029
1121;<>!=();-3256
1122;Validi kommentti;-6394
1123;,,s.5,.(556;-6049
1124;,,s.5,.(556;6838
1125;Hei, olen kommentti.;417
1126;Hei, olen kommentti.;3412
1127;Validi kommentti;-9328
1128;<>!=();8048
1129;-.4,56kom-m<entti5;-1878
1130;Hei, olen kommentti.;5860
1131;par!si-ttu;4745
1132;<>!=();2783
1133;¤%qwerty,.;-3017
1134;<>!=();-8474
1135;¤%qwerty,.;-5035
1136;-.4,56kom-m<entti5;-7883
1137;Hei, olen kommentti.;-8812
1138;<>!=();4094
1139;<>!=();-2456
1140;<>!=();2692
1141;-.4,56kom-m<entti5;-4941
1142;<>!=();6814
1143;¤%qwerty,.;1882
1144;-.4,56kom-m<entti5;-4690
1145;-.4,56kom-m<entti5;-6430
1146;Validi kommentti;-2201
1147;,,s.5,.(556;-6837
1148;,,s.5,.(556;-1086
1149;,,s.5,.(556;-6886
1150;-.4,56kom-m<entti5;344
1151;,,s.5,.(556;-3880
1152;par!si-ttu;4001
1153;Validi kommentti;637
1154;Hei, olen kommentti.;-5487
1155;-.4,56kom-m<entti5;-5853
1156;¤%qwerty,.;-1605
1157;<>!=();8076
1158;-.4,56kom-m<entti5;7141
1159;-.4,56kom-m<entti5;6534
1160;Validi kommentti;7374
1161;par!si-ttu;9839
1162;¤%qwerty,.;-6139
1163;,,s.5,.(556;4200
1164;<>!=();3950
1165;¤%qwerty,.;-1964
1166;par!si-ttu;5284
1167;par!si-ttu;-1777
1168;<>!=();-6360
1169;,,s.5,.(556;7559
1170;,,s.5,.(556;-4650
1171;¤%qwerty,.;3472
1172;Hei, olen kommentti.;-715
1173;-.4,56kom-m<entti5;-1678
1174;Validi kommentti;-5825
1175;<>!=();9137
1176;<>!=();-2164
1177;¤%qwerty,.;4287
1178;par!si-ttu;-6664
1179;,,s.5,.(556;9055
1180;par!si-ttu;5326
1181;,,s.5,.(556;-9386
1182;,,s.5,.(556;2924
1183;¤%qwerty,.;-2758
1184;,,s.5,.(556;-37
1185;par!si-ttu;-584
1186;<>!=();-5698
1187;Validi kommentti;2970
1188;¤%qwerty,.;3118
1189;par!si-ttu;-4581
1190;<>!=();-5198
1191;,,s.5,.(556;5732
1192;<>!=();-3735
1193;<>!=();3612
1194;,,s.5,.(556;8092
1195;Hei, olen kommentti.;-6641
1196;-.4,56kom-m<entti5;6511
1197;-.4,56kom-m<entti5;62
1198;Hei, olen kommentti.;1510
1199;Hei, olen kommentti.;-8068
1200;Validi kommentti;-8929
1201;¤%qwerty,.;5168
1202;¤%qwerty,.;8442
1203;-.4,56kom-m<entti5;-6480
1204;Hei, olen kommentti.;9423
1205;¤%qwerty,.;128
1206;¤%qwerty,.;5953
1207;,,s.5,.(556;6502
1208;Validi kommentti;5955
1209;-.4,56kom-m<entti5;1257
1210;<>!=();-4979
1211;par!si-ttu;-268
1212;Validi kommentti;-4589
1213;Validi kommentti;-1739
1214;Validi kommentti;6292
1215;,,s.5,.(556;-7299
1216;par!si-ttu;3079
1217;¤%qwerty,.;2520
1218;Hei, olen kommentti.;-8870
1219;<>!=();-3212
1220;par!si-ttu;27
1221;Validi kommentti;3048
1222;Hei, olen kommentti.;9142
1223;Hei, olen kommentti.;6188
1224;par!si-ttu;5568
1225;Hei, olen kommentti.;1060
1226;par!si-ttu;-1295
1227;Hei, olen kommentti.;474
1228;¤%qwerty,.;-4502
1229;<>!=();6860
1230;¤%qwerty,.;1731
1231;Hei, olen kommentti.;680
1232;¤%qwerty,.;-7039
1233;,,s.5,.(556;-4682
1234;Hei, olen kommentti.;-443
1235;par!si-ttu;8714
1236;Validi kommentti;4428
1237;Hei, olen kommentti.;-4437
1238;<>!=();-3706
1239;<>!=();-8278
1240;Validi kommentti;-7255
1241;Validi kommentti;-1715
1242;par!si-ttu;9372
1243;Validi kommentti;1571
1244;-.4,56kom-m<entti5;-1141
1245;<>!=();-3588
1246;,,s.5,.(556;6140
1247;,,s.5,.(556;-4985
1248;¤%qwerty,.;-8428
1249;¤%qwerty,.;-6921
1250;,,s.5,.(556;-6917
1251;Validi kommentti;5265
1252;Hei, olen kommentti.;8343
1253;Validi kommentti;3514
1254;Validi kommentti;9912
1255;¤%qwerty,.;6278
1256;-.4,56kom-m<entti5;-7606
1257;Validi kommentti;-5860
1258;Validi kommentti;-1513
1259;,,s.5,.(556;-8054
1260;-.4,56kom-m<entti5;5253
1261;<>!=();668
1262;,,s.5,.(556;-8284
1263;-.4,56kom-m<entti5;6779
1264;-.4,56kom-m<entti5;1218
1265;par!si-ttu;-5480
1266;<>!=();-2810
1267;-.4,56kom-m<entti5;3645
1268;-.4,56kom-m<entti5;9370
1269;,,s.5,.(556;-8581
1270;Hei, olen kommentti.;-2295
1271;Hei, olen kommentti.;9382
1272;-.4,56kom-m<entti5;2317
1273;Hei, olen kommentti.;-2825
1274;-.4,56kom-m<entti5;2919
1275;,,s.5,.(556;-8558
1276;¤%qwerty,.;-5181
1277;Validi kommentti;-3304
1278;Hei, olen kommentti.;-2510
1279;Validi kommentti;2618
1280;-.4,56kom-m<entti5;-2986
1281;¤%qwerty,.;3517
1282;par!si-ttu;9704
1283;Validi kommentti;6875
1284;¤%qwerty,.;8788
1285;Hei, olen kommentti.;-3630
1286;<>!=();1400
1287;<>!=();2936
1288;,,s.5,.(556;1209
1289;Hei, olen kommentti.;-4164
1290;par!si-ttu;6905
1291;Hei, olen kommentti.;-5215
1292;,,s.5,.(556;4802
1293;par!si-ttu;-7968
1294;,,s.5,.(556;-3547
1295;<>!=();2382
1296;-.4,56kom-m<entti5;3488
1297;par!si-ttu;-2340
1298;,,s.5,.(556;-7487
1299;¤%qwerty,.;-2646
1300;<>!=();-8037
1301;,,s.5,.(556;-7947
1302;-.4,56kom-m<entti5;-994
1303;Validi kommentti;-9866
1304;<>!=();7648
1305;Hei, olen kommentti.;6319
1306;Validi kommentti;1673
1307;Hei, olen kommentti.;-9356
1308;par!si-ttu;6666
1309;-.4,56kom-m<entti5;469
1310;<>!=();3818
1311;,,s.5,.(556;228
1312;par!si-ttu;6639
1313;Validi kommentti;-6295
1314;<>!=();-406
1315;¤%qwerty,.;-7729
1316;<>!=();-3919
1317;-.4,56kom-m<entti5;-4636
1318;¤%qwerty,.;-7945
1319;<>!=();6539
1320;Validi kommentti;-9040
1321;<>!=();-2865
1322;¤%qwerty,.;8582
1323;¤%qwerty,.;-6363
1324;-.4,56kom-m<entti5;-5765
1325;par!si-ttu;-8535
1326;,,s.5,.(556;787
1327;<>!=();-3411
1328;<>!=();5143
1329;¤%qwerty,.;3710
1330;,,s.5,.(556;-2694
1331;<>!=();8564
1332;-.4,56kom-m<entti5;-1724
1333;-.4,56kom-m<entti5;-1817
1334;<>!=();-340
1335;¤%qwerty,.;-2568
1336;Validi kommentti;5497
1337;-.4,56kom-m<entti5;-5902
1338;¤%qwerty,.;1787
1339;Hei, olen kommentti.;9721
1340;¤%qwerty,.;161
1341;-.4,56kom-m<entti5;-9357
1342;Validi kommentti;9664
1343;Validi kommentti;-1768
1344;Validi kommentti;9300
1345;¤%qwerty,.;3610
1346;Hei, olen kommentti.;6874
1347;-.4,56kom-m<entti5;-9984
1348;,,s.5,.(556;-7444
1349;Validi kommentti;7317
1350;Hei, olen kommentti.;-4203
1351;-.4,56kom-m<entti5;4214
1352;-.4,56kom-m<entti5;-4589
1353;par!si-ttu;-5487
1354;Hei, olen kommentti.;7818
1355;Validi kommentti;-4701
1356;-.4,56kom-m<entti5;6239
1357;par!si-ttu;-1872
1358;¤%qwerty,.;-6487
1359;¤%qwerty,.;-270
1360;par!si-ttu;873
1361;Hei, olen kommentti.;-2129
1362;¤%qwerty,.;9064
1363;¤%qwerty,.;93
1364;¤%qwerty,.;-457
1365;par!si-ttu;-77
1366;<>!=();5628
1367;Validi kommentti;9966
1368;par!si-ttu;-834
1369;-.4,56kom-m<entti5;7307
1370;Validi kommentti;-93
1371;Validi kommentti;-4785
1372;par!si-ttu;2005
1373;Validi kommentti;6683
1374;Validi kommentti;7342
1375;Hei, olen kommentti.;6060
1376;par!si-ttu;6211
1377;<>!=();-5431
1378;par!si-ttu;-2171
1379;<>!=();1877
1380;<>!=();9081
1381;-.4,56kom-m<entti5;-5622
1382;Validi kommentti;-7212
1383;par!si-ttu;-6524
1384;¤%qwerty,.;-8612
1385;<>!=();1198
1386;¤%qwerty,.;9814
1387;-.4,56kom-m<entti5;-5730
1388;¤%qwerty,.;-9839
1389;Hei, olen kommentti.;8828
1390;-.4,56kom-m<entti5;4764
1391;¤%qwerty,.;7510
1392;-.4,56kom-m<entti5;-1434
1393;,,s.5,.(556;-1492
1394;-.4,56kom-m<entti5;-6272
1395;Validi kommentti;-5530
1396;,,s.5,.(556;172
1397;<>!=();-3937
1398;<>!=();417
1399;<>!=();-9655
1400;par!si-ttu;-1659
1401;<>!=();-1327
1402;-.4,56kom-m<entti5;-6071
1403;-.4,56kom-m<entti5;-4923
1404;Validi kommentti;-3947
1405;Validi kommentti;-9328
1406;par!si-ttu;-9343
1407;<>!=();-1485
1408;Validi kommentti;5894
1409;par!si-ttu;5369
1410;<>!=();-8681
1411;,,s.5,.(556;2956
1412;<>!=();-739
1413;¤%qwerty,.;5813
1414;Hei, olen kommentti.;-7385
1415;,,s.5,.(556;1949
1416;,,s.5,.(556;1875
1417;Validi kommentti;-1689
1418;-.4,56kom-m<entti5;-9417
1419;-.4,56kom-m<entti5;1316
1420;-.4,56kom-m<entti5;5547
1421;Validi kommentti;2100
1422;Hei, olen kommentti.;698
1423;par!si-ttu;-3255
1424;Validi kommentti;-2991
1425;par!si-ttu;-6958
1426;Hei, olen kommentti.;-9308
1427;Hei, olen kommentti.;6929
1428;-.4,56kom-m<entti5;7229
1429;Validi kommentti;2083
1430;Validi kommentti;3951
1431;-.4,56kom-m<entti5;-3182
1432;,,s.5,.(556;-8755
1433;Hei, olen kommentti.;5911
1434;-.4,56kom-m<entti5;-3230
1435;<>!=();567
1436;par!si-ttu;-916
1437;par!si-ttu;6634
1438;Hei, olen kommentti.;-1323
1439;-.4,56kom-m<entti5;-3757
1440;par!si-ttu;3496
1441;<>!=();5523
1442;,,s.5,.(556;-9857
1443;-.4,56kom-m<entti5;9290
1444;Validi kommentti;-5142
1445;¤%qwerty,.;-6896
1446;par!si-ttu;1442
1447;par!si-ttu;6665
1448;par!si-ttu;-5616
1449;Validi kommentti;-5153
1450;¤%qwerty,.;7793
1451;par!si-ttu;2404
1452;Hei, olen kommentti.;5032
1453;,,s.5,.(556;4368
1454;Validi kommentti;5280
1455;-.4,56kom-m<entti5;2530
1456;-.4,56kom-m<entti5;-4006
1457;-.4,56kom-m<entti5;6179
1458;Hei, olen kommentti.;5727
1459;<>!=();-5708
1460;,,s.5,.(556;-5007
1461;Hei, olen kommentti.;-5848
1462;par!si-ttu;-5856
1463;<>!=();6800
1464;par!si-ttu;1866
1465;-.4,56kom-m<entti5;-6029
1466;¤%qwerty,.;3236
1467;<>!=();976
